date,zone
2020-05-19, Provincia de Santiago (Completa)
2020-05-19, Puente Alto
2020-05-19, Buin
2020-05-19, San Bernardo
2020-05-19, Padre Hurtado
2020-05-19, Lampa
2020-05-19, Colina
2020-05-19, Antofagasta (Zona urbana)
2020-05-19, Mejillones
2020-05-19, Iquique
2020-05-19, Alto Hospicio
2020-05-20, Provincia de Santiago (Completa)
2020-05-20, Puente Alto
2020-05-20, Buin
2020-05-20, San Bernardo
2020-05-20, Padre Hurtado
2020-05-20, Lampa
2020-05-20, Colina
2020-05-20, Antofagasta (Zona urbana)
2020-05-20, Mejillones
2020-05-20, Iquique
2020-05-20, Alto Hospicio
2020-05-20, Provincia de Santiago (Completa)
2020-05-20, Puente Alto
2020-05-20, Buin
2020-05-20, San Bernardo
2020-05-20, Padre Hurtado
2020-05-20, Lampa
2020-05-20, Colina
2020-05-20, Antofagasta (Zona urbana)
2020-05-20, Mejillones
2020-05-20, Iquique
2020-05-20, Alto Hospicio
